DX,BODY_SYSTEM,ICD
1700,malignancy,9
1701,malignancy,9
1702,malignancy,9
1703,malignancy,9
1704,malignancy,9
1705,malignancy,9
1706,malignancy,9
1707,malignancy,9
1708,malignancy,9
1709,malignancy,9
171,malignancy,9
1710,malignancy,9
1712,malignancy,9
1713,malignancy,9
1714,malignancy,9
1715,malignancy,9
1716,malignancy,9
1717,malignancy,9
1718,malignancy,9
1719,malignancy,9
172,malignancy,9
1720,malignancy,9
1721,malignancy,9
1722,malignancy,9
1723,malignancy,9
1724,malignancy,9
1725,malignancy,9
1726,malignancy,9
1727,malignancy,9
1728,malignancy,9
1729,malignancy,9
173,malignancy,9
1730,malignancy,9
17300,malignancy,9
17301,malignancy,9
17302,malignancy,9
17309,malignancy,9
1731,malignancy,9
17310,malignancy,9
17311,malignancy,9
17312,malignancy,9
17319,malignancy,9
1732,malignancy,9
17320,malignancy,9
17321,malignancy,9
17322,malignancy,9
17329,malignancy,9
1733,malignancy,9
17330,malignancy,9
17331,malignancy,9
17332,malignancy,9
17339,malignancy,9
1734,malignancy,9
17340,malignancy,9
17341,malignancy,9
17342,malignancy,9
17349,malignancy,9
1735,malignancy,9
17350,malignancy,9
17351,malignancy,9
17352,malignancy,9
17359,malignancy,9
1736,malignancy,9
17360,malignancy,9
17361,malignancy,9
17362,malignancy,9
17369,malignancy,9
1737,malignancy,9
17370,malignancy,9
17371,malignancy,9
17372,malignancy,9
17379,malignancy,9
1738,malignancy,9
17380,malignancy,9
17381,malignancy,9
17382,malignancy,9
17389,malignancy,9
1739,malignancy,9
17390,malignancy,9
17391,malignancy,9
17392,malignancy,9
17399,malignancy,9
174,malignancy,9
1740,malignancy,9
1741,malignancy,9
1742,malignancy,9
1743,malignancy,9
1744,malignancy,9
1745,malignancy,9
1746,malignancy,9
1748,malignancy,9
1749,malignancy,9
175,malignancy,9
1750,malignancy,9
1759,malignancy,9
176,malignancy,9
1760,malignancy,9
1761,malignancy,9
1762,malignancy,9
1763,malignancy,9
1764,malignancy,9
1765,malignancy,9
1768,malignancy,9
1769,malignancy,9
179,malignancy,9
180,malignancy,9
1800,malignancy,9
1801,malignancy,9
1808,malignancy,9
1809,malignancy,9
181,malignancy,9
182,malignancy,9
1820,malignancy,9
1821,malignancy,9
1828,malignancy,9
183,malignancy,9
1830,malignancy,9
1832,malignancy,9
1833,malignancy,9
1834,malignancy,9
1835,malignancy,9
1838,malignancy,9
1839,malignancy,9
184,malignancy,9
1840,malignancy,9
1841,malignancy,9
1842,malignancy,9
1843,malignancy,9
1844,malignancy,9
1848,malignancy,9
1849,malignancy,9
185,malignancy,9
186,malignancy,9
1860,malignancy,9
1869,malignancy,9
187,malignancy,9
1871,malignancy,9
1872,malignancy,9
1873,malignancy,9
1874,malignancy,9
1875,malignancy,9
1876,malignancy,9
1877,malignancy,9
1878,malignancy,9
1879,malignancy,9
188,malignancy,9
1880,malignancy,9
1881,malignancy,9
1882,malignancy,9
1883,malignancy,9
1884,malignancy,9
1885,malignancy,9
1886,malignancy,9
1887,malignancy,9
1888,malignancy,9
1889,malignancy,9
189,malignancy,9
1890,malignancy,9
1891,malignancy,9
1892,malignancy,9
1893,malignancy,9
1894,malignancy,9
1898,malignancy,9
1899,malignancy,9
190,malignancy,9
1900,malignancy,9
1901,malignancy,9
1902,malignancy,9
1903,malignancy,9
1904,malignancy,9
1905,malignancy,9
1906,malignancy,9
1907,malignancy,9
1908,malignancy,9
1909,malignancy,9
191,malignancy,9
1910,malignancy,9
1911,malignancy,9
1912,malignancy,9
1913,malignancy,9
1914,malignancy,9
1915,malignancy,9
1916,malignancy,9
1917,malignancy,9
1918,malignancy,9
1919,malignancy,9
192,malignancy,9
1920,malignancy,9
1921,malignancy,9
1922,malignancy,9
1923,malignancy,9
1928,malignancy,9
1929,malignancy,9
193,malignancy,9
194,malignancy,9
1940,malignancy,9
1941,malignancy,9
1943,malignancy,9
1944,malignancy,9
1945,malignancy,9
1946,malignancy,9
1948,malignancy,9
1949,malignancy,9
195,malignancy,9
1950,malignancy,9
1951,malignancy,9
1952,malignancy,9
1953,malignancy,9
1954,malignancy,9
1955,malignancy,9
1958,malignancy,9
196,malignancy,9
1960,malignancy,9
1961,malignancy,9
1962,malignancy,9
1963,malignancy,9
1965,malignancy,9
1966,malignancy,9
1968,malignancy,9
1969,malignancy,9
197,malignancy,9
1970,malignancy,9
1971,malignancy,9
1972,malignancy,9
