NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Comorbidities
58493,2.3205062085928514,395,25207,2.3205062085928514,2.301738571869131,2.3393888274846226,0.008087733897984714,0.008137284365733974,2.301738571869131,2.3393888274846226,Yes
59635,2.3658110842226368,400,25207,2.3658110842226368,2.346860760632272,2.3848763884362483,0.008010074733668647,0.008058675665506927,2.346860760632272,2.3848763884362483,Yes
60700,2.4080612528265957,405,25207,2.4080612528265957,2.3889421300137026,2.4272953548615397,0.007939633092991692,0.007987380724791335,2.3889421300137026,2.4272953548615397,Yes
61824,2.4526520410996944,410,25207,2.4526520410996944,2.4333563662027204,2.4720626937793315,0.007867269622282961,0.007914148584621082,2.4333563662027204,2.4720626937793315,Yes
62911,2.495774983139604,415,25207,2.495774983139604,2.476310088105752,2.515354854600953,0.007799138610391015,0.007845207037342067,2.476310088105752,2.515354854600953,Yes
63956,2.537231721347245,420,25207,2.537231721347245,2.517605517472977,2.556972900378901,0.007735282398190464,0.0077805975960183816,2.517605517472977,2.556972900378901,Yes
65021,2.579481889951204,425,25207,2.579481889951204,2.559692640247432,2.5993861135495697,0.007671792456021667,0.007716364932006578,2.559692640247432,2.5993861135495697,Yes
66107,2.622565160471298,430,25207,2.622565160471298,2.602611019239907,2.64263427434113,0.007608635061637476,0.007652474825916442,2.602611019239907,2.64263427434113,Yes
67200,2.6659261316301026,435,25207,2.6659261316301026,2.6458073979768018,2.686159836688457,0.007546620821410041,0.007589747074493196,2.6458073979768018,2.686159836688457,Yes
68256,2.7078192565557186,440,25207,2.7078192565557186,2.6875427688272593,2.7282107145258347,0.007488124504384597,0.0075305831143447684,2.6875427688272593,2.7282107145258347,Yes
69316,2.749871067560598,445,25207,2.749871067560598,2.729437450759697,2.7704196534621834,0.007430754496801831,0.0074725634026957645,2.729437450759697,2.7704196534621834,Yes
70354,2.7910501051295276,450,25207,2.7910501051295276,2.770463780514327,2.811751397753194,0.00737583484343981,0.007417026511140251,2.770463780514327,2.811751397753194,Yes
71427,2.833617645892014,455,25207,2.833617645892014,2.812874643903711,2.8544756147848482,0.007320324962817268,0.007360897446087257,2.812874643903711,2.8544756147848482,Yes
72543,2.8778910620065856,460,25207,2.8778910620065856,2.85698634739811,2.898910742397492,0.007263900598760024,0.007303848525889087,2.85698634739811,2.898910742397492,Yes
73681,2.923037251557107,465,25207,2.923037251557107,2.9019689123208274,2.9442205554579437,0.007207687560278768,0.007247018110888695,2.9019689123208274,2.9442205554579437,Yes
74841,2.969056214543579,470,25207,2.969056214543579,2.9478223827946444,2.990405009843919,0.007151710919087082,0.007190431489900845,2.9478223827946444,2.990405009843919,Yes
75905,3.0112667116277225,475,25207,3.0112667116277225,2.989882207421953,3.03276617838638,0.0071014978922973445,0.007139675365067887,2.989882207421953,3.03276617838638,Yes
76841,3.0483992541754277,480,25207,3.0483992541754277,3.026883074343117,3.070030395699427,0.0070581895737047914,0.007095901724280682,3.026883074343117,3.070030395699427,Yes
77835,3.087832744872456,485,25207,3.087832744872456,3.0661776051112484,3.1096028454278457,0.007013054640724056,0.007050284893681663,3.0661776051112484,3.1096028454278457,Yes
78905,3.130281271075495,490,25207,3.130281271075495,3.1084775347380718,3.1521999672599805,0.006965424014415163,0.007002149099833039,3.1084775347380718,3.1521999672599805,Yes
79884,3.1691196889752846,495,25207,3.1691196889752846,3.1471808739109184,3.191173463036862,0.0069226842838050135,0.006958959025213753,3.1471808739109184,3.191173463036862,Yes
80919,3.210179711984766,500,25207,3.210179711984766,3.1880989885771465,3.2323753935079522,0.006878344949095562,0.006914155441304971,3.1880989885771465,3.2323753935079522,Yes
81907,3.2493751735628993,505,25207,3.2493751735628993,3.2271598301928943,3.271705474222495,0.0068368046727107,0.0068721829480560504,3.2271598301928943,3.271705474222495,Yes
82920,3.2895624231364304,510,25207,3.2895624231364304,3.267209893792222,3.3120299089387224,0.006794985614803022,0.006829931435339768,3.267209893792222,3.3120299089387224,Yes
83866,3.327091680882295,515,25207,3.327091680882295,3.3046117937599724,3.3496865236998286,0.006756617874852513,0.006791169280776162,3.3046117937599724,3.3496865236998286,Yes
84820,3.364938310786686,520,25207,3.364938310786686,3.342330714232352,3.387660862279866,0.006718576825573003,0.00675273939505525,3.342330714232352,3.387660862279866,Yes
85808,3.4041337723648195,525,25207,3.4041337723648195,3.3813946696821677,3.426987829216324,0.006679849912847326,0.006713618905648366,3.3813946696821677,3.426987829216324,Yes
86764,3.4420597453088426,530,25207,3.4420597453088426,3.4191941145909315,3.4650403294631054,0.006643008085224128,0.006676404785124025,3.4191941145909315,3.4650403294631054,Yes
87732,3.4804617764906576,535,25207,3.4804617764906576,3.4574687377847995,3.503569767903399,0.006606318409002023,0.006639346413406374,3.4574687377847995,3.503569767903399,Yes
88747,3.5207283691038205,540,25207,3.5207283691038205,3.497602488924723,3.543969201237765,0.006568493151030562,0.006601143200337308,3.497602488924723,3.543969201237765,Yes
89684,3.5579005831713415,545,25207,3.5579005831713415,3.534652742746441,3.581263374868205,0.006534145595540601,0.006566454331907952,3.534652742746441,3.581263374868205,Yes
90701,3.598246518824136,550,25207,3.598246518824136,3.574867024168044,3.62174096402301,0.006497468845945688,0.006529415112600838,3.574867024168044,3.62174096402301,Yes
91703,3.6379973816796922,555,25207,3.6379973816796922,3.6144888945029856,3.6616208186926436,0.00646193075758965,0.006493527766653917,3.6144888945029856,3.6616208186926436,Yes
92731,3.678779704050462,560,25207,3.678779704050462,3.6551396075515514,3.70253474967268,0.006426070164756528,0.0064573167009872486,3.6551396075515514,3.70253474967268,Yes
93718,3.7179354941087794,565,25207,3.7179354941087794,3.6941697220049714,3.7418162146624545,0.006392195922028737,0.006423113201268566,3.6941697220049714,3.7418162146624545,Yes
94655,3.7551077081763,570,25207,3.7551077081763,3.73122323792467,3.7791071262482414,0.006360528673951025,0.006391139732073601,3.73122323792467,3.7791071262482414,Yes
95601,3.7926369659221644,575,25207,3.7926369659221644,3.76863325191953,3.816755627118916,0.006329030228390958,0.006359338215986434,3.76863325191953,3.816755627118916,Yes
96572,3.831158011663427,580,25207,3.831158011663427,3.8070325146355546,3.8553984552522644,0.006297181414712119,0.006327184500101751,3.8070325146355546,3.8553984552522644,Yes
97505,3.868171539651684,585,25207,3.868171539651684,3.84392960101783,3.8925284242470597,0.006267027815430611,0.006296743654126807,3.84392960101783,3.8925284242470597,Yes
98493,3.907367001229817,590,25207,3.907367001229817,3.8830023625222,3.9318465852734796,0.006235564435065415,0.006264982029064048,3.8830023625222,3.9318465852734796,Yes
99323,3.9402943626770344,595,25207,3.9402943626770344,3.9158271208283746,3.9648765493435167,0.006209495940307553,0.006238667572485942,3.9158271208283746,3.9648765493435167,Yes
100236,3.976514460268973,600,25207,3.976514460268973,3.951934848889616,4.001209015903557,0.0061811950201469835,0.006210100800919392,3.951934848889616,4.001209015903557,Yes
101140,4.012377514182568,605,25207,4.012377514182568,3.9876871440703,4.0371828280005335,0.006153551111528098,0.0061821983924208734,3.9876871440703,4.0371828280005335,Yes
102096,4.050303487126592,610,25207,4.050303487126592,4.025496524389403,4.075225392996293,0.00612471702825097,0.006153095922049376,4.025496524389403,4.075225392996293,Yes
103047,4.088031102471536,615,25207,4.088031102471536,4.063108697257838,4.11306845025549,0.006096432387373645,0.006124549240541929,4.063108697257838,4.11306845025549,Yes
103957,4.124132185504027,620,25207,4.124132185504027,4.099099812532109,4.149279500515423,0.006069730999385616,0.006097601599625439,4.099099812532109,4.149279500515423,Yes
104924,4.162494545166025,625,25207,4.162494545166025,4.137345842532624,4.187758189282463,0.006041738279899148,0.006069351885584407,4.137345842532624,4.187758189282463,Yes
105898,4.201134605466735,630,25207,4.201134605466735,4.175869271714044,4.226514880149714,0.006013931027064638,0.006041290524219965,4.175869271714044,4.226514880149714,Yes
106772,4.235807513785853,635,25207,4.235807513785853,4.2104379791204,4.261291988892044,0.005989303003709685,0.00601643842956714,4.2104379791204,4.261291988892044,Yes
107689,4.272186297457056,640,25207,4.272186297457056,4.2467078927343955,4.297779642113237,0.005963785974835873,0.005990690216719873,4.2467078927343955,4.297779642113237,Yes
108611,4.308763438727338,645,25207,4.308763438727338,4.283176036656756,4.334465780227948,0.005938455994265402,0.005965131728884495,4.283176036656756,4.334465780227948,Yes
109530,4.345221565438172,650,25207,4.345221565438172,4.319525980097375,4.371032089713479,0.005913527067337433,0.005939978867959953,4.319525980097375,4.371032089713479,Yes
110452,4.381798706708454,655,25207,4.381798706708454,4.3559950400628615,4.407717311797648,0.005888829764381418,0.00591506064610244,4.3559950400628615,4.407717311797648,Yes
111312,4.415916213750148,660,25207,4.415916213750148,4.390012139635734,4.441935225855776,0.005866070111057682,0.005892098229719617,4.390012139635734,4.441935225855776,Yes
112231,4.452374340460983,665,25207,4.452374340460983,4.426363398228079,4.4785002202074295,0.005842038481923891,0.005867853362873746,4.426363398228079,4.4785002202074295,Yes
113062,4.485341373428016,670,25207,4.485341373428016,4.459234172452898,4.51156351148977,0.005820560532980127,0.005846185580678299,4.459234172452898,4.51156351148977,Yes
113946,4.520410996945293,675,25207,4.520410996945293,4.494201785494254,4.546735145033967,0.005797970907678463,0.005823397055370235,4.494201785494254,4.546735145033967,Yes
114835,4.55567897806165,680,25207,4.55567897806165,4.5293675774415325,4.5821053148731,0.005775516832248845,0.005800746044378756,4.5293675774415325,4.5821053148731,Yes
115699,4.589955171182608,685,25207,4.589955171182608,4.563544833440315,4.616480444687419,0.0057539424149731745,0.005778983130673146,4.563544833440315,4.616480444687419,Yes
116560,4.624112349744118,690,25207,4.624112349744118,4.597603785227894,4.650735849600288,0.005732681758411756,0.005757537413130301,4.597603785227894,4.650735849600288,Yes
117428,4.658547228944341,695,25207,4.658547228944341,4.631940005603689,4.685269387203637,0.005711485154714509,0.005736156991876463,4.631940005603689,4.685269387203637,Yes
118265,4.691752291030269,700,25207,4.691752291030269,4.665050277137068,4.718569239440263,0.005691266767056439,0.005715763907924602,4.665050277137068,4.718569239440263,Yes
119152,4.726940929106994,705,25207,4.726940929106994,4.70013882751061,4.75385796479894,0.005670073309218855,0.005694387997573621,4.70013882751061,4.75385796479894,Yes
120026,4.761613837426112,710,25207,4.761613837426112,4.734713478763624,4.788629129773679,0.005649420465610352,0.005673558014139626,4.734713478763624,4.788629129773679,Yes
120862,4.794779227992224,715,25207,4.794779227992224,4.7677852185072735,4.821888170773793,0.005629875370978095,0.005653845879556827,4.7677852185072735,4.821888170773793,Yes
121675,4.8270321736025705,720,25207,4.8270321736025705,4.799947399956057,4.854231880171771,0.005611061346272147,0.005634871612819783,4.799947399956057,4.854231880171771,Yes
122474,4.8587297179354945,725,25207,4.8587297179354945,4.831556038072424,4.886018330357393,0.005592753958459836,0.005616408815902115,4.831556038072424,4.886018330357393,Yes
123291,4.891141349625104,730,25207,4.891141349625104,4.863877060022781,4.918520571417865,0.0055742182965971615,0.005597716327470157,4.863877060022781,4.918520571417865,Yes
124277,4.930257468163606,735,25207,4.930257468163606,4.902884224666178,4.9577456434117195,0.0055520920913737296,0.005575403602269152,4.902884224666178,4.9577456434117195,Yes
125090,4.962510413773952,740,25207,4.962510413773952,4.935047657738942,4.99008810120097,0.005534045018582513,0.0055572049482201,4.935047657738942,4.99008810120097,Yes
125930,4.995834490419328,745,25207,4.995834490419328,4.968279554116398,5.023504357747333,0.005515582302770978,0.005538587673604631,4.968279554116398,5.023504357747333,Yes
126709,5.026738604355933,750,25207,5.026738604355933,4.999098456199947,5.054493683199971,0.005498624522077673,0.005521488390103815,4.999098456199947,5.054493683199971,Yes
127493,5.057841075891617,755,25207,5.057841075891617,5.030115433008918,5.085681649126305,0.0054817149188128075,0.005504438122302949,5.030115433008918,5.085681649126305,Yes
128305,5.090054349982148,760,25207,5.090054349982148,5.062240435655051,5.117983194316418,0.005464364899599616,0.0054869442276914366,5.062240435655051,5.117983194316418,Yes
129062,5.120085690482802,765,25207,5.120085690482802,5.092189734928839,5.148096575725415,0.0054483376334532796,0.005470784462588034,5.092189734928839,5.148096575725415,Yes
129898,5.153251081048915,770,25207,5.153251081048915,5.125264801585761,5.181352289852192,0.005430800677668085,0.005453102975443887,5.125264801585761,5.181352289852192,Yes
130659,5.183441107628833,775,25207,5.183441107628833,5.155372859857589,5.211624284425854,0.005414983442164264,0.005437155783547288,5.155372859857589,5.211624284425854,Yes
131457,5.21509898044194,780,25207,5.21509898044194,5.186945035033,5.243367854549963,0.005398544785923561,0.005420582469103484,5.186945035033,5.243367854549963,Yes
132202,5.244654262704804,785,25207,5.244654262704804,5.216420545820177,5.27300290798619,0.005383332336203708,0.005405245772438351,5.216420545820177,5.27300290798619,Yes
132955,5.274526917126195,790,25207,5.274526917126195,5.246212800235002,5.302955962111163,0.005368086529098689,0.005389875799601994,5.246212800235002,5.302955962111163,Yes
133734,5.3054310310628,795,25207,5.3054310310628,5.277033977312094,5.333943012596529,0.005352449892279069,0.00537411218179898,5.277033977312094,5.333943012596529,Yes
134533,5.337128575395724,800,25207,5.337128575395724,5.308646706023315,5.365725372235233,0.005336552974142492,0.005358086550760866,5.308646706023315,5.365725372235233,Yes
135332,5.368826119728647,805,25207,5.368826119728647,5.340259686225793,5.397507480385483,0.005320796923908857,0.0053422033079896635,5.340259686225793,5.397507480385483,Yes
136090,5.398897131749117,810,25207,5.398897131749117,5.37025070389553,5.427658486462185,0.005305977712582685,0.005327264811906141,5.37025070389553,5.427658486462185,Yes
136850,5.429047486809219,815,25207,5.429047486809219,5.400321076887444,5.457888823297657,0.005291243075617053,0.005312411902550633,5.400321076887444,5.457888823297657,Yes
137630,5.459991272265641,820,25207,5.459991272265641,5.43118300608396,5.488914464715984,0.005276247661422869,0.00529729646222341,5.43118300608396,5.488914464715984,Yes
138404,5.490697028603166,825,25207,5.490697028603166,5.461807764792634,5.519701218389147,0.005261492968932118,0.005282424004618563,5.461807764792634,5.519701218389147,Yes
139142,5.519974610227318,830,25207,5.519974610227318,5.491008326780194,5.549055819372596,0.005247539253795804,0.0052683592224131775,5.491008326780194,5.549055819372596,Yes
139963,5.552544927996191,835,25207,5.552544927996191,5.523493202427654,5.581711578956982,0.005232145970049984,0.005252843757054797,5.523493202427654,5.581711578956982,Yes
140770,5.584559844487642,840,25207,5.584559844487642,5.555424377666527,5.613810236402937,0.005217146495417004,0.005237725573693569,5.555424377666527,5.613810236402937,Yes
