NOBS,NRX,AGE_DAYS_ROUNDED,NMEMB,rawmean,rawlwr,rawupr,proplwr,propupr,lwr,upr,Indication
314919,2.372867411970237,550,124759,2.5242186936413407,2.5154102056141325,2.5330503948375083,0.003489589887515389,0.003498786067314689,2.3645870778450107,2.3811695674108235,All conditions
318577,2.400691854620306,555,124759,2.5535392236231456,2.5446796809932275,2.5624219793414698,0.0034695149962676126,0.003478605551130209,2.3923626182292836,2.4090429146323413,All conditions
321958,2.426575510524641,560,124759,2.5806394729037585,2.571733001784137,2.589569157038558,0.003451265166303907,0.0034602602295127666,2.4182007549917612,2.434972093257619,All conditions
325272,2.451924361856619,565,124759,2.607202686780112,2.5982504556691626,2.616178130835572,0.003433653684211763,0.0034425570750483392,2.4435053027381213,2.460365251416012,All conditions
328573,2.476503237334408,570,124759,2.633661699757132,2.6246641193209874,2.6426824930684614,0.0034163766883856545,0.0034251906052176003,2.468042569405667,2.4849857329567167,All conditions
331846,2.501551282411163,575,124759,2.6598962800278936,2.650853959292721,2.668961813570539,0.0033995012523863576,0.0034082282120226916,2.4930472556936976,2.510077140065698,All conditions
335033,2.525875651605966,580,124759,2.685441531272293,2.676355857342564,2.694550417944515,0.0033833072974871815,0.0033919512177599527,2.5173298380813427,2.534443298598341,All conditions
338383,2.551357751845595,585,124759,2.7122933014852637,2.7031622787600424,2.721447536885668,0.0033665321962860996,0.0033750905167192887,2.542768523829763,2.5599688151986073,All conditions
341604,2.5754730932564107,590,124759,2.73811107815869,2.728936664103869,2.747308704824912,0.0033506361841941393,0.0033591137845317416,2.5668436199187274,2.584124400425659,All conditions
344636,2.5984173540440136,595,124759,2.762413934064877,2.7531988613032494,2.7716522193786846,0.0033358768749286085,0.0033442798705454915,2.589749353681245,2.607107188896419,All conditions
347689,2.6219461560171573,600,124759,2.7868851145007576,2.7776292817395483,2.7961641597553,0.003321210735616357,0.003329539924793363,2.613238120295585,2.630676030424275,All conditions
350846,2.645998664702842,605,124759,2.8121899021313093,2.8028921086510072,2.8215109080449032,0.0033062466632340103,0.0033145008829345932,2.6372503404467467,2.6547688296132437,All conditions
354028,2.6695685598577894,610,124759,2.837695076106734,2.828355180226529,2.847058184360528,0.0032913669826072586,0.003299546992427373,2.6607820300420673,2.678376926770547,All conditions
357192,2.6936548919541297,615,124759,2.86305597191385,2.8536743989919944,2.872460757150722,0.003276768953833743,0.0032848764848230254,2.684828407231832,2.702503215566938,All conditions
360295,2.717463109504604,620,124759,2.887927925039476,2.8785056574892387,2.8973734048480377,0.003262639440736231,0.003270677126899759,2.7085970071847885,2.726351053940055,All conditions
363509,2.7418441700627865,625,124759,2.913689593536338,2.9042253599677004,2.923177039305346,0.003248195548912595,0.0032561621492058325,2.7329381240337765,2.7507720592683658,All conditions
366651,2.7658753511196026,630,124759,2.938874149359966,2.9293690688558285,2.9484024420085566,0.0032342591145685805,0.0032421574263960117,2.7569297935554835,2.7748427544297205,All conditions
369592,2.788401552822957,635,124759,2.9624475989708157,2.9529044428791953,2.9720139671551973,0.003221375491987019,0.00322921093615464,2.7794190643988745,2.7974058896117238,All conditions
372732,2.811745202192014,640,124759,2.9876161238868537,2.9780324826987012,2.9972229771132537,0.0032077886819288767,0.0032155580998477064,2.802725717755955,2.8207865322516303,All conditions
375847,2.835072079247313,645,124759,3.0125842624580192,3.0029606266585005,3.022231110242381,0.0031944785476860516,0.003202183555354179,2.826015502309014,2.8441505004377223,All conditions
